id,tree,target,Cre,source_area,L2/3,L4,L5,L6a,L6b
178,4,OT_9,Penk,SSp-tr,0.011383645,0.166581417,0.733215258,0.08881968,0
44,4,CP_3,Tac1,SSp-un,0.023855848,0.126894646,0.812643607,0.036605307,5.92E-07
159,4,CP_7,Penk,SSp-bfd,0.054427233,0.138867293,0.746898005,0.058186838,0.00162063
52,4,CP_4,Gad2,SSp-bfd,0.037878389,0.124249267,0.803502405,0.029712552,0.004657387
56,4,CP_4,Gad2,SSp-un,0.018397275,0.10759037,0.857542031,0.016470324,0
158,4,CP_7,Penk,AUDv,0.010699261,0.098044533,0.891254446,1.76E-06,0
39,4,CP_3,Tac1,SSp-bfd,0.002265003,0.124588504,0.856707295,0.016439198,0
95,4,CP_4,Tac1,SSp-un,0.012027029,0.140959102,0.822758471,0.0242528,2.60E-06
138,4,CP_6,Gnb4,VISal,0.042042463,0.152351442,0.73926106,0.061305635,0.0050394
2,4,ACB,Penk,SSs,0,0.125226304,0.832781022,0.041205014,7.88E-04
41,4,CP_3,Tac1,SSp-n,0.00960387,0.135668699,0.799786995,0.054940436,0
55,4,CP_4,Gad2,SSp-ul,0.020937025,0.118471819,0.798356348,0.060024363,0.002210446
116,4,CP_5,Gad2,VISl,0.019763099,0.120761945,0.800436482,0.051075847,0.007962627
63,4,CP_4,Gnb4,SSp-ul,0.013077403,0.188876942,0.793441271,0.004604384,0
137,4,CP_6,Gnb4,VISa,0.033099323,0.197536484,0.718439051,0.043468061,0.007457081
45,4,CP_3,Tac1,SSs,0.052455513,0.17379945,0.750059562,0.023116015,5.69E-04
54,4,CP_4,Gad2,SSp-n,0.049296287,0.16562921,0.745896582,0.036081139,0.003096782
181,4,OT_9,Penk,TEa,0.065325364,0.170120308,0.719953359,0.044600969,0
183,4,OT_9,Penk,VISa,0.012419521,0.173880923,0.787749451,0.025950105,0
46,4,CP_3,Tac1,TEa,0.009485382,0.160105938,0.815513736,0.014890042,4.90E-06
90,4,CP_4,Tac1,SSp-bfd,0.012184873,0.152428329,0.817325596,0.015666541,0.002394662
134,4,CP_6,Gnb4,SSs,0.173489266,0.201275121,0.559925084,0.057212439,0.00809809
66,4,CP_4,Penk,AUDd,0.126117928,0.16350431,0.703526518,0.004929145,0.001922099
153,4,CP_6,Sst,SSs,0.168579471,0.155148602,0.633297579,0.03970253,0.003271817
47,4,CP_3,Tac1,VISC,0.062822878,0.15240962,0.784706299,6.12E-05,4.53E-21
123,4,CP_6,Gnb4,AUDp,0.106722169,0.172800134,0.68798048,0.029487048,0.00301017
81,4,CP_4,Penk,VISal,0.067012639,0.130610659,0.795304132,0.00707257,0
163,4,CP_7,Penk,TEa,0.076990199,0.140724301,0.761771759,0.019700734,8.13E-04
145,4,CP_6,Penk,AUDpo,0.10804458,0.136888607,0.694745575,0.022672652,0.037648586
16,4,CP_1,Gad2,TEa,0.08637552,0.147681401,0.759798669,0.006144411,0
124,4,CP_6,Gnb4,AUDpo,0.115649368,0.157082422,0.695261491,0.03085511,0.001151609
122,4,CP_6,Gnb4,AUDd,0.123453921,0.220074862,0.619925492,0.03519467,0.001351054
4,4,ACB,Penk,VISC,0.103974006,0.199974198,0.670633044,0.025418753,3.08E-20
85,4,CP_4,Penk,VISrl,0.073532612,0.180736495,0.737962594,0.007768298,0
82,4,CP_4,Penk,VISl,0.108607024,0.093461823,0.787449164,0.01036388,1.18E-04
144,4,CP_6,Penk,AUDp,0.119255693,0.120945584,0.717005857,0.024076184,0.018716682
150,4,CP_6,Sst,AUDd,0.119073671,0.109463526,0.761302403,0.010160401,0
31,4,CP_2,Gad2,VISC,0.120569455,0.081253754,0.76400784,0.033388563,7.80E-04
